频率 (Hz)	电平 (dB)
46.875000	-7.899415
93.750000	-8.624082
140.625000	-15.273242
187.500000	-17.524315
234.375000	-15.923603
281.250000	-17.023817
328.125000	-16.931175
375.000000	-24.077246
421.875000	-20.342730
468.750000	-15.886386
515.625000	-21.985144
562.500000	-19.954531
609.375000	-17.868805
656.250000	-20.650068
703.125000	-25.221054
750.000000	-27.911051
796.875000	-28.086723
843.750000	-29.501850
890.625000	-26.502199
937.500000	-23.100142
984.375000	-24.741241
1031.250000	-20.175568
1078.125000	-21.242670
1125.000000	-24.743803
1171.875000	-19.945608
1218.750000	-22.409456
1265.625000	-27.434978
1312.500000	-27.623388
1359.375000	-27.831232
1406.250000	-26.651365
1453.125000	-28.617924
1500.000000	-30.756174
1546.875000	-30.991360
1593.750000	-32.712986
1640.625000	-34.619221
1687.500000	-32.409439
1734.375000	-33.288002
1781.250000	-34.595623
1828.125000	-34.263920
1875.000000	-32.360466
1921.875000	-35.702190
1968.750000	-35.318249
2015.625000	-34.234489
2062.500000	-33.781101
2109.375000	-35.284420
2156.250000	-34.260460
2203.125000	-34.712475
2250.000000	-36.197552
2296.875000	-36.086678
2343.750000	-34.406330
2390.625000	-37.157688
2437.500000	-40.124962
2484.375000	-37.304676
2531.250000	-38.127254
2578.125000	-38.579704
2625.000000	-38.917572
2671.875000	-39.113483
2718.750000	-38.703552
2765.625000	-36.101738
2812.500000	-35.788166
2859.375000	-36.569714
2906.250000	-38.099792
2953.125000	-38.728794
3000.000000	-37.829762
3046.875000	-38.149551
3093.750000	-39.624489
3140.625000	-36.940365
3187.500000	-35.350624
3234.375000	-36.307510
3281.250000	-36.676746
3328.125000	-37.267982
3375.000000	-38.225559
3421.875000	-36.426041
3468.750000	-37.732948
3515.625000	-37.711994
3562.500000	-35.401001
3609.375000	-37.120911
3656.250000	-38.205914
3703.125000	-36.802525
3750.000000	-36.287907
3796.875000	-37.444614
3843.750000	-38.861450
3890.625000	-39.048992
3937.500000	-38.866520
3984.375000	-39.077755
4031.250000	-40.878906
4078.125000	-42.264565
4125.000000	-41.482784
4171.875000	-37.782932
4218.750000	-38.251663
4265.625000	-42.039818
4312.500000	-41.532066
4359.375000	-39.993172
4406.250000	-40.218338
4453.125000	-42.894119
4500.000000	-42.623898
4546.875000	-41.617607
4593.750000	-43.101593
